X Position,Y Position,Time,Theta_radians,Theta_degrees
2.79419333711769,-9.22608687422128,0.0,-0.059760820318521785,-3.4240427844909544
-3.926325008501067,347.7610762467602,0.0166666666666666,-0.06149827330525008,-3.523591507732885
-0.1425897586458404,353.8997526154086,0.0333333333333333,-0.06052004317815754,-3.4675430500579365
4.604889822668042,361.07341539149496,0.05,-0.059292732767261436,-3.3972233433611225
4.604889822668042,361.07341539149496,0.0666666666666666,-0.059292732767261436,-3.3972233433611225
9.423611479961238,366.2483474286848,0.0833333333333333,-0.058047096398636075,-3.3258536366308875
18.168552539068344,373.5644943567299,0.1,-0.05578676383387064,-3.1963461203738475
29.947210744509988,379.9881390292956,0.1166666666666666,-0.052742745575358775,-3.0219367214003547
40.72650358050333,386.3761626638717,0.1333333333333333,-0.04995742768025403,-2.862349761408591
52.50516178594498,392.7998073364373,0.15,-0.046914321209950066,-2.6879926040512205
65.24756432284528,400.258438416441,0.1666666666666666,-0.043622712663135735,-2.4993973265095693
79.06057430517319,405.7539597955378,0.1833333333333333,-0.040055078550135514,-2.2949869489877575
92.83796324951146,412.2488465440828,0.2,-0.03649715275639453,-2.091132817185666
106.65097323183936,417.74436792317954,0.2166666666666666,-0.03293049196301152,-1.8867782067700374
135.31197960393314,427.7716663499144,0.2333333333333333,-0.025531210993314204,-1.4628306357749141
135.31197960393314,427.7716663499144,0.25,-0.025531210993314204,-1.4628306357749141
151.15934136314735,432.3390644355422,0.2666666666666666,-0.021440596170376948,-1.228455670806955
166.04295879090287,435.871476113732,0.2833333333333333,-0.01759907673197772,-1.008352820069213
180.9265762186584,439.40388779192176,0.3,-0.013757817018786925,-0.7882648504897473
196.8451800538519,441.9725551386529,0.3166666666666666,-0.009649664571713078,-0.5528850536760745
210.7650531501488,444.4699804094048,0.3333333333333333,-0.0060574652286368115,-0.3470671921481375
227.68302235479055,447.0742687941256,0.35,-0.0016916700081266067,-0.09692555179451624
242.67350289651512,447.60858436397046,0.3666666666666666,0.002176694275122028,0.12471539525478026
256.6646180687913,448.10727889582574,0.3833333333333333,0.0057871958336779905,0.3315818964854428
271.65509861051584,448.6415944656706,0.4,0.009655675323215004,0.5532294443688368
285.71745585877136,447.1415582586293,0.4166666666666667,0.013284771360628793,0.761161330760298
299.74419206903724,446.6408874210362,0.4333333333333333,0.016904848897310108,0.9685764951222527
299.74419206903724,446.6408874210362,0.45,0.016904848897310108,0.9685764951222527
313.8065493172928,445.1408512139949,0.4666666666666667,0.02053434211575528,1.176531138310515
326.86954119610004,443.6051939689638,0.4833333333333333,0.02390614060472699,1.369720961097182
339.93253307490727,442.0695367239328,0.5,0.02727821095820526,1.5629263605726746
351.0680362907972,438.4639066640259,0.5166666666666667,0.030152964411860186,1.7276376006077592
363.1672838381458,435.8932630115569,0.5333333333333333,0.03327680249985648,1.9066203389321634
374.2671660160461,433.2869983210982,0.55,0.036142904945011316,2.070835912691661
385.3670481939464,430.6807336306396,0.5666666666666667,0.03900930444877269,2.235068506655581
393.4688342635018,427.967605826212,0.5833333333333334,0.0411016859426482,2.3549531353859265
403.60497210994345,424.3263547283154,0.6,0.043719717343425335,2.504955285283179
411.74237921748846,420.6138615544394,0.6166666666666667,0.045821718977123595,2.6253911074236935
411.74237921748846,420.6138615544394,0.6333333333333333,0.045821718977123595,2.6253911074236935
419.8797863250335,416.9013683805636,0.65,0.0479239232317221,2.745838538886633
428.01719343257855,413.1888752066876,0.6666666666666666,0.0500263394587789,2.866298115476806
435.1196141326856,410.4401263642703,0.6833333333333333,0.05186153262525327,2.971446938507037
441.2582905013341,406.65639111441504,0.7,0.053447844708502064,3.062335925867798
447.3613458319929,403.8720212340081,0.7166666666666667,0.05502508532014786,3.1527051561917347
452.46503579320336,401.0520303156115,0.7333333333333333,0.05634416039851911,3.2282825910432957
461.673050346176,395.3764274408287,0.75,0.05872426925497771,3.364652783300082
464.74238853050025,393.484559815901,0.7666666666666667,0.0595177122227404,3.410113716637219
466.8123613453762,391.5570711529838,0.7833333333333333,0.060052834191627845,3.4407739469792005
468.88233416025207,389.62958249006647,0.8,0.060587973378233934,3.471435163823793
468.9535762362314,387.6308517511698,0.8166666666666667,0.06060639152585889,3.472490445949152
468.9535762362314,387.6308517511698,0.8333333333333334,0.06060639152585889,3.472490445949152
469.9885626436694,386.6671074197112,0.85,0.060873967923888224,3.4878214442535453
471.02354905110735,385.70336308825256,0.8666666666666667,0.06114154868578171,3.5031526925889374
471.02354905110735,385.70336308825256,0.8833333333333333,0.06114154868578171,3.5031526925889374
471.02354905110735,385.70336308825256,0.9,0.06114154868578171,3.5031526925889374
471.02354905110735,385.70336308825256,0.9166666666666666,0.06114154868578171,3.5031526925889374
471.02354905110735,385.70336308825256,0.9333333333333332,0.06114154868578171,3.5031526925889374
469.9885626436694,386.6671074197112,0.95,0.060873967923888224,3.4878214442535453
468.91795519824177,388.63021712061817,0.9666666666666668,0.060597182449473735,3.471962804739069
467.88296879080383,389.5939614520768,0.9833333333333332,0.060329610545117617,3.4566320639031853
466.8123613453762,391.5570711529838,1.0,0.060052834191627845,3.4407739469792005
463.7074021230623,394.4483041473597,1.0166666666666666,0.059250157646538765,3.3947839686314536
460.63806393873807,396.3401717722873,1.0333333333333334,0.05845672721528284,3.3493237535832443
455.5699950155173,398.1607973212356,1.05,0.057146701046028536,3.274264783033282
451.4300493857654,402.01577464707015,1.0666666666666669,0.056076654947667955,3.2129556577127802
445.3626150930963,403.8007791580288,1.0833333333333333,0.05450852926041035,3.123108674086868
